route_id,source_file,symbol,method,path_template,auth_mode,decorators,auth_evidence_ref,verification_status,owner_signoff,verification_notes,source_decorator_snapshot,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
ROUTE-0269,endpoints/keyserver/__init__.py,list_service_keys,GET,/keys/services/<service>/keys,service-key-auth-mixed,"key_server.route(""/services/<service>/keys"", methods=[""GET""])",endpoints/keyserver/__init__.py:71,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (keyserver-family-match).,route,api-service-keys,A3,PT-ROUTE-0269,flip `ROUTE_OWNER_KEYS_GET_KEYS_SERVICES_SERVICE_KEYS` -> `python`,BATCH-A3-ROUTES
ROUTE-0270,endpoints/keyserver/__init__.py,delete_service_key,DELETE,/keys/services/<service>/keys/<kid>,service-key-auth-mixed,"key_server.route(""/services/<service>/keys/<kid>"", methods=[""DELETE""])",endpoints/keyserver/__init__.py:178,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (keyserver-family-match).,route,api-service-keys,A3,PT-ROUTE-0270,flip `ROUTE_OWNER_KEYS_DELETE_KEYS_SERVICES_SERVICE_KEYS_KID` -> `python`,BATCH-A3-ROUTES
ROUTE-0271,endpoints/keyserver/__init__.py,get_service_key,GET,/keys/services/<service>/keys/<kid>,service-key-auth-mixed,"key_server.route(""/services/<service>/keys/<kid>"", methods=[""GET""])",endpoints/keyserver/__init__.py:77,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (keyserver-family-match).,route,api-service-keys,A3,PT-ROUTE-0271,flip `ROUTE_OWNER_KEYS_GET_KEYS_SERVICES_SERVICE_KEYS_KID` -> `python`,BATCH-A3-ROUTES
ROUTE-0272,endpoints/keyserver/__init__.py,put_service_key,PUT,/keys/services/<service>/keys/<kid>,service-key-auth-mixed,"key_server.route(""/services/<service>/keys/<kid>"", methods=[""PUT""])",endpoints/keyserver/__init__.py:96,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (keyserver-family-match).,route,api-service-keys,A3,PT-ROUTE-0272,flip `ROUTE_OWNER_KEYS_PUT_KEYS_SERVICES_SERVICE_KEYS_KID` -> `python`,BATCH-A3-ROUTES
ROUTE-0274,endpoints/oauth/login.py,add_url_rule,GET,/oauth2/<dynamic-service>//callback,oauth-flow-mixed,dynamic-add-url-rule,endpoints/oauth/login.py:377,verified-source-anchored,,"Manual review: dynamic oauthlogin.add_url_rule callback/attach/cli/captcha handlers verified; attach/cli are require_session_login, callback/captcha are oauth-flow mixed.",,api-service-auth,A3,PT-ROUTE-0274,flip `ROUTE_OWNER_OAUTH2_GET_OAUTH2_DYNAMIC_SERVICE_CALLBACK` -> `python`,BATCH-A3-ROUTES
ROUTE-0275,endpoints/oauth/login.py,add_url_rule,POST,/oauth2/<dynamic-service>//callback,oauth-flow-mixed,dynamic-add-url-rule,endpoints/oauth/login.py:377,verified-source-anchored,,"Manual review: dynamic oauthlogin.add_url_rule callback/attach/cli/captcha handlers verified; attach/cli are require_session_login, callback/captcha are oauth-flow mixed.",,api-service-auth,A3,PT-ROUTE-0275,flip `ROUTE_OWNER_OAUTH2_POST_OAUTH2_DYNAMIC_SERVICE_CALLBACK` -> `python`,BATCH-A3-ROUTES
ROUTE-0276,endpoints/oauth/login.py,add_url_rule,GET,/oauth2/<dynamic-service>//callback/attach,oauth-flow-mixed,dynamic-add-url-rule,endpoints/oauth/login.py:377,verified-source-anchored,,"Manual review: dynamic oauthlogin.add_url_rule callback/attach/cli/captcha handlers verified; attach/cli are require_session_login, callback/captcha are oauth-flow mixed.",,api-service-auth,A3,PT-ROUTE-0276,flip `ROUTE_OWNER_OAUTH2_GET_OAUTH2_DYNAMIC_SERVICE_CALLBACK_ATTACH` -> `python`,BATCH-A3-ROUTES
ROUTE-0277,endpoints/oauth/login.py,add_url_rule,POST,/oauth2/<dynamic-service>//callback/attach,oauth-flow-mixed,dynamic-add-url-rule,endpoints/oauth/login.py:377,verified-source-anchored,,"Manual review: dynamic oauthlogin.add_url_rule callback/attach/cli/captcha handlers verified; attach/cli are require_session_login, callback/captcha are oauth-flow mixed.",,api-service-auth,A3,PT-ROUTE-0277,flip `ROUTE_OWNER_OAUTH2_POST_OAUTH2_DYNAMIC_SERVICE_CALLBACK_ATTACH` -> `python`,BATCH-A3-ROUTES
ROUTE-0278,endpoints/oauth/login.py,add_url_rule,POST,/oauth2/<dynamic-service>//callback/captcha,oauth-flow-mixed,dynamic-add-url-rule,endpoints/oauth/login.py:377,verified-source-anchored,,"Manual review: dynamic oauthlogin.add_url_rule callback/attach/cli/captcha handlers verified; attach/cli are require_session_login, callback/captcha are oauth-flow mixed.",,api-service-auth,A3,PT-ROUTE-0278,flip `ROUTE_OWNER_OAUTH2_POST_OAUTH2_DYNAMIC_SERVICE_CALLBACK_CAPTCHA` -> `python`,BATCH-A3-ROUTES
ROUTE-0279,endpoints/oauth/login.py,add_url_rule,GET,/oauth2/<dynamic-service>//callback/cli,oauth-flow-mixed,dynamic-add-url-rule,endpoints/oauth/login.py:377,verified-source-anchored,,"Manual review: dynamic oauthlogin.add_url_rule callback/attach/cli/captcha handlers verified; attach/cli are require_session_login, callback/captcha are oauth-flow mixed.",,api-service-auth,A3,PT-ROUTE-0279,flip `ROUTE_OWNER_OAUTH2_GET_OAUTH2_DYNAMIC_SERVICE_CALLBACK_CLI` -> `python`,BATCH-A3-ROUTES
