route_id,source_file,symbol,method,path_template,auth_mode,decorators,auth_evidence_ref,verification_status,owner_signoff,verification_notes,source_decorator_snapshot,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
ROUTE-0241,endpoints/web.py,user_initialize,POST,/api/v1/user/initialize,session-or-oauth2,"web.route(""/api/v1/user/initialize"", methods=[""POST""]); route_show_if(features.USER_INITIALIZE)",endpoints/web.py:1063,verified-source-anchored,,Manual review completed.,,api-service-web,A4,PT-ROUTE-0241,flip `ROUTE_OWNER_API_V1_POST_API_V1_USER_INITIALIZE` -> `python`,BATCH-A4-ROUTES
ROUTE-0273,endpoints/bitbuckettrigger.py,attach_bitbucket_build_trigger,GET,/oauth1/bitbucket/callback/trigger/<trigger_uuid>,session-required,"bitbuckettrigger.route(""/bitbucket/callback/trigger/<trigger_uuid>"", methods=[""GET""]); route_show_if(features.BITBUCKET_BUILD); require_session_login",endpoints/bitbuckettrigger.py:23,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-required-family-match).,require_session_login; route; route_show_if,api-service-auth,A4,PT-ROUTE-0273,flip `ROUTE_OWNER_OAUTH1_GET_OAUTH1_BITBUCKET_CALLBACK_TRIGGER_TRIGGER_UUID` -> `python`,BATCH-A4-ROUTES
ROUTE-0282,endpoints/githubtrigger.py,attach_github_build_trigger,GET,/oauth2/github/callback/trigger/<repopath:repository>,session-required,"githubtrigger.route(""/github/callback/trigger/<repopath:repository>"", methods=[""GET""]); route_show_if(features.GITHUB_BUILD); require_session_login; parse_repository_name()",endpoints/githubtrigger.py:23,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-required-family-match).,parse_repository_name; require_session_login; route; route_show_if,api-service-auth,A4,PT-ROUTE-0282,flip `ROUTE_OWNER_OAUTH2_GET_OAUTH2_GITHUB_CALLBACK_TRIGGER_REPOPATH_REPOSITORY` -> `python`,BATCH-A4-ROUTES
ROUTE-0283,endpoints/gitlabtrigger.py,attach_gitlab_build_trigger,GET,/oauth2/gitlab/callback/trigger,session-required,"gitlabtrigger.route(""/gitlab/callback/trigger"", methods=[""GET""]); route_show_if(features.GITLAB_BUILD); require_session_login",endpoints/gitlabtrigger.py:22,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-required-family-match).,require_session_login; route; route_show_if,api-service-auth,A4,PT-ROUTE-0283,flip `ROUTE_OWNER_OAUTH2_GET_OAUTH2_GITLAB_CALLBACK_TRIGGER` -> `python`,BATCH-A4-ROUTES
ROUTE-0293,endpoints/web.py,v1,GET,/v1,legacy-registry-auth,"web.route(""/v1""); web.route(""/v1/""); no_cache",endpoints/web.py:281,verified-source-anchored,,Manual review: /v1 and /v1/ web routes return UI index and are tracked as legacy-registry-auth compatibility surface.,,api-service-web,A4,PT-ROUTE-0293,flip `ROUTE_OWNER_V1_GET_V1` -> `python`,BATCH-A4-ROUTES
ROUTE-0294,endpoints/web.py,v1,GET,/v1/,legacy-registry-auth,"web.route(""/v1""); web.route(""/v1/""); no_cache",endpoints/web.py:281,verified-source-anchored,,Manual review: /v1 and /v1/ web routes return UI index and are tracked as legacy-registry-auth compatibility surface.,,api-service-web,A4,PT-ROUTE-0294,flip `ROUTE_OWNER_V1_GET_V1` -> `python`,BATCH-A4-ROUTES
ROUTE-0341,endpoints/web.py,index,GET,/,session-or-anon-ui,"web.route(""/"", methods=[""GET""], defaults={""path"": """"}); no_cache",endpoints/web.py:107,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0341,flip `ROUTE_OWNER_WEB_GET` -> `python`,BATCH-A4-ROUTES
ROUTE-0342,endpoints/web.py,not_found_error_display,GET,/404,session-or-anon-ui,"web.errorhandler(404); web.route(""/404"", methods=[""GET""])",endpoints/web.py:124,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,errorhandler; route,api-service-web,A4,PT-ROUTE-0342,flip `ROUTE_OWNER_WEB_GET_404` -> `python`,BATCH-A4-ROUTES
ROUTE-0343,endpoints/web.py,internal_error_display,GET,/500,session-or-anon-ui,"web.route(""/500"", methods=[""GET""])",endpoints/web.py:118,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,route,api-service-web,A4,PT-ROUTE-0343,flip `ROUTE_OWNER_WEB_GET_500` -> `python`,BATCH-A4-ROUTES
ROUTE-0344,endpoints/web.py,redirect_to_namespace,GET,/<namespace>,session-or-anon-ui,"web.route(""/<namespace>""); web.route(""/<namespace>/""); no_cache; process_oauth; anon_protect",endpoints/web.py:1039,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,anon_protect; no_cache; process_oauth; route,api-service-web,A4,PT-ROUTE-0344,flip `ROUTE_OWNER_WEB_GET_NAMESPACE` -> `python`,BATCH-A4-ROUTES
ROUTE-0345,endpoints/web.py,redirect_to_namespace,GET,/<namespace>/,session-or-anon-ui,"web.route(""/<namespace>""); web.route(""/<namespace>/""); no_cache; process_oauth; anon_protect",endpoints/web.py:1039,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,anon_protect; no_cache; process_oauth; route,api-service-web,A4,PT-ROUTE-0345,flip `ROUTE_OWNER_WEB_GET_NAMESPACE` -> `python`,BATCH-A4-ROUTES
ROUTE-0346,endpoints/web.py,redirect_to_repository,GET,/<repopathredirect:repository>,session-or-anon-ui,"web.route(""/<repopathredirect:repository>""); web.route(""/<repopathredirect:repository>/""); no_cache; process_oauth; parse_repository_name(include_tag=True); anon_protect",endpoints/web.py:987,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,anon_protect; no_cache; parse_repository_name; process_oauth; route,api-service-web,A4,PT-ROUTE-0346,flip `ROUTE_OWNER_WEB_GET_REPOPATHREDIRECT_REPOSITORY` -> `python`,BATCH-A4-ROUTES
ROUTE-0347,endpoints/web.py,redirect_to_repository,GET,/<repopathredirect:repository>/,session-or-anon-ui,"web.route(""/<repopathredirect:repository>""); web.route(""/<repopathredirect:repository>/""); no_cache; process_oauth; parse_repository_name(include_tag=True); anon_protect",endpoints/web.py:987,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,anon_protect; no_cache; parse_repository_name; process_oauth; route,api-service-web,A4,PT-ROUTE-0347,flip `ROUTE_OWNER_WEB_GET_REPOPATHREDIRECT_REPOSITORY` -> `python`,BATCH-A4-ROUTES
ROUTE-0348,endpoints/web.py,exp,GET,/__exp/<expname>,session-or-anon-ui,"web.route(""/__exp/<expname>""); no_cache",endpoints/web.py:274,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0348,flip `ROUTE_OWNER_WEB_GET_EXP_EXPNAME` -> `python`,BATCH-A4-ROUTES
ROUTE-0349,endpoints/web.py,internal_ping,GET,/_internal_ping,anon-allowed,"web.route(""/_internal_ping""); anon_allowed",endpoints/web.py:113,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; route,api-service-web,A4,PT-ROUTE-0349,flip `ROUTE_OWNER_WEB_GET_INTERNAL_PING` -> `python`,BATCH-A4-ROUTES
ROUTE-0350,endpoints/web.py,about,GET,/about/,session-or-anon-ui,"web.route(""/about/""); no_cache",endpoints/web.py:223,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0350,flip `ROUTE_OWNER_WEB_GET_ABOUT` -> `python`,BATCH-A4-ROUTES
ROUTE-0351,endpoints/web.py,confirm_repo_email,GET,/authrepoemail,session-or-anon-ui,"web.route(""/authrepoemail"", methods=[""GET""]); route_show_if(features.MAILING)",endpoints/web.py:511,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,route; route_show_if,api-service-web,A4,PT-ROUTE-0351,flip `ROUTE_OWNER_WEB_GET_AUTHREPOEMAIL` -> `python`,BATCH-A4-ROUTES
